year,data_mean_global
1562,715.5959686
1563,714.8799744
1564,714.1289705
1565,713.359976
1566,712.6169867
1567,711.9459759
1568,711.2759777
1569,710.5949738
1570,709.8819681
1571,709.204041
1572,708.8629663
1573,708.4880295
1574,708.2319496
1575,707.7589965
1576,707.2629793
1577,706.7840113
1578,706.4159802
1579,706.0160023
1580,705.6559917
1581,705.2859792
1582,704.8019748
1583,704.2199834
1584,703.6299912
1585,703.0829831
1586,702.5560166
1587,702.2089944
1588,701.8910027
1589,701.6060066
1590,701.3719915
1591,701.1590777
1592,701.447045
1593,701.9961008
1594,702.9710758
1595,704.1240629
1596,705.2820946
1597,706.5639961
1598,707.3200077
1599,707.7890667
1600,708.3929416
1601,708.5070562
1602,708.7510042
1603,708.8930146
1604,708.9720084
1605,708.9980164
1606,709.0300133
1607,709.0380018
1608,708.9550065
1609,708.8790217
1610,708.8319994
1611,708.7820338
1612,708.7949832
1613,708.6720268
1614,708.65401
1615,708.5659897
1616,708.4950599
1617,708.5209327
1618,708.2510747
1619,708.307996
1620,708.3370255
1621,708.4320312
1622,708.679042
1623,708.9569758
1624,709.0050307
1625,709.0890045
1626,709.1420187
1627,709.2040105
1628,709.283027
1629,709.3869955
1630,709.4550428
1631,709.5759733
1632,709.6401027
1633,710.1560235
1634,710.7230421
1635,711.2420077
1636,711.769101
1637,712.3018326
1638,711.7689992
1639,711.0489513
1640,710.2219765
1641,709.3279532
1642,708.6781766
1643,709.0900009
1644,709.5770423
1645,710.0390106
1646,710.4350449
1647,710.8700114
1648,711.2960763
1649,711.9560315
1650,712.5740096
1651,713.0150325
1652,713.3859937
1653,713.5500081
1654,713.6580411
1655,713.8129605
1656,713.7350556
1657,713.8460052
1658,713.9380032
1659,713.9510245
1660,714.0260139
1661,714.0509725
1662,713.8400012
1663,713.4168811
