year,data_mean_global,data_mean_nh,data_mean_sh
434,654.919917136177,675.786036003227,634.053798269127
435,654.672028651897,675.316664208063,634.027393095731
436,654.438003148189,674.806463142901,634.069543153477
437,654.227009300741,674.319405941221,634.134612660262
438,654.04401176259,673.860292940453,634.227730584727
439,653.800953096514,673.314804779755,634.287101413273
440,653.29500667277,672.347736461923,634.242276883616
441,652.79898213113,671.363969787271,634.23399447499
442,652.307012360531,670.384278647071,634.229746073991
443,651.851959995483,669.441539934516,634.26238005645
444,651.396090528302,668.544493350025,634.247687706578
445,651.407981363733,668.394724817903,634.421237909563
446,651.392039137821,668.264099165166,634.519979110476
447,651.44899555931,668.206217721778,634.691773396842
448,651.477042251947,668.119514851205,634.83456965269
449,651.606994669247,668.124014143673,635.08997519482
450,651.608995715713,667.937076906123,635.280914525302
451,651.512023757548,667.640437818155,635.383609696941
452,651.46999604041,667.398695665455,635.541296415366
453,651.413037572535,667.148524654318,635.677550490752
454,651.484003514924,667.06495500883,635.903052021019
455,651.541023679404,666.974030918862,636.108016439946
456,651.626008810449,666.91100079045,636.341016830448
457,651.717032591018,666.854039796837,636.580025385199
458,651.866996125693,666.856015667341,636.877976584045
459,651.934027200076,666.775333817388,637.092720582763
460,652.044010839001,666.737504246124,637.350517431878
461,652.148015602702,666.693784130475,637.602247074929
462,652.246015153973,666.644021255941,637.848009052006
463,652.350015526119,666.600266591415,638.099764460823
464,652.46201767594,666.564507332776,638.359528019105
465,652.579007335227,666.533745089895,638.624269580559
466,652.662019873717,666.469026946413,638.855012801022
467,652.769011574235,666.428236743722,639.109786404747
468,652.888028576203,666.399497990932,639.376559161475
469,653.067005452561,666.430676452469,639.703334452654
470,653.191013811313,666.406995153596,639.97503246903
471,653.295016054544,666.363228614079,640.226803495009
472,653.416013638276,666.336466544125,640.495560732426
473,653.524005653141,666.29671912899,640.751292177292
474,653.584012159453,666.209004010938,640.959020307967
475,653.665030678903,666.142231642111,641.187829715697
476,653.833994141407,666.163391360902,641.504596921913
477,653.907024933176,666.088768177892,641.725281688461
478,654.032012657549,666.065907801245,641.998117513852
479,654.151995111463,666.03819365798,642.265796564945
480,654.182034079834,665.920518045454,642.443550114214
481,654.346011234422,665.936610381149,642.755412087696
482,654.511009184641,665.953922343521,643.068096025761
483,654.619006063596,665.914174237699,643.323837889493
484,654.700020267669,665.847454907531,643.552585627808
485,654.823003283736,665.822637551755,643.823369015717
486,654.89700827706,665.74895684823,644.04505970589
487,654.954016790181,665.658185994992,644.249847585369
488,655.0439945926,665.600399456525,644.487589728675
489,655.055023670481,665.463746695925,644.646300645038
490,655.157010682797,665.41785841682,644.896162948774
491,655.268001520005,665.381160387416,645.154842652594
492,655.322021818783,665.287431965805,645.35661167176
493,655.448000420387,665.265594200644,645.63040664013
494,655.51300942346,665.182939967888,645.843078879033
495,655.568005783936,665.09013331681,646.045878251061
496,655.625019063101,664.999426875521,646.250611250682
497,655.722982231384,664.949572548981,646.496391913788
498,655.672028177821,664.751043787677,646.593012567965
499,655.768007247355,664.699016333955,646.836998160755
500,655.877017617808,664.66033639734,647.093698838276
501,655.998994339162,664.634605868628,647.363382809696
502,656.042021792948,664.529900553463,647.554143032434
503,656.202018058421,664.542022965091,647.862013151752
504,656.346980951816,664.539349209354,648.154612694278
505,656.344020474394,664.388649488123,648.299391460664
506,656.42100812331,664.317839708735,648.524176537884
507,656.520016399769,664.269088831344,648.770943968194
508,656.691014630014,664.29225972656,649.089769533468
509,656.83800052429,664.291591085929,649.384409962651
510,657.030051074564,664.3357168367,649.724385312427
511,657.349976905476,664.507973275284,650.191980535667
512,657.535042241102,664.545244127909,650.524840354296
513,657.787977491285,664.650489994991,650.92546498758
514,657.899023287818,664.613780783756,651.18426579188
515,657.985981391647,664.553101941995,651.418860841298
516,658.110110796924,664.591957356482,651.628264237366
517,658.879055596159,665.651537435938,652.106573756379
518,659.730001432456,666.85634641799,652.603656446922
519,660.50609589765,667.985996674286,653.026195121015
520,661.367926535484,669.151126530042,653.584726540926
521,661.63203588703,669.41515155543,653.84892021863
522,661.933022226979,669.665074779434,654.200969674523
